Year,Multi_short,ODA,Share,full name,Donor
2021,UNWTO,0.24,0.0%,World Tourism Organization,Austria
2021,United Nations Framework Convention on Climate Change ,0.13,0.0%,United Nations Framework Convention on Climate Change ,Austria
2021,UNCDF,0.12,0.0%,United Nations Capital Development Fund ,Austria
2021,United Nations Office of Co-ordination of Humanitarian Affairs ,0.11,0.0%,United Nations Office of Co-ordination of Humanitarian Affairs ,Austria
2021,United Nations Office on Drugs and Crime ,0.07,0.0%,United Nations Office on Drugs and Crime ,Austria
2021,Convention to Combat Desertification ,0.06,0.0%,Convention to Combat Desertification ,Austria
2021,Intergovernmental Panel on Climate Change ,0.05,0.0%,Intergovernmental Panel on Climate Change ,Austria
2021,CITES,0.04,0.0%,Convention on International Trade in Endangered Species of Wild Flora and Fauna,Austria
2021,World Meteorological Organisation ,0.02,0.0%,World Meteorological Organisation ,Austria
2021,International Organisation of the Francophonie,0.01,0.0%,International Organisation of the Francophonie,Austria
2022,European Commission - Development Share of Budget,383.6,0.72%,European Commission - Development Share of Budget,Austria
2022,IDA,185.69,0.35%,International Development Association ,Austria
2022,European Commission - European Development Fund,76.58,0.14%,European Commission - European Development Fund,Austria
2022,ADF,45.13,0.08%,African Development Fund ,Austria
2022,GCF,29.01,0.05%,Green Climate Fund,Austria
2022,"International Monetary Fund - Poverty Reduction and Growth - Heavily Indebted Poor Countries Debt Relief Initiative Trust Fund [includes HIPC, Extended Credit Facility (ECF), and ECF-HIPC sub-accounts] ",17.23,0.03%,"International Monetary Fund - Poverty Reduction and Growth - Heavily Indebted Poor Countries Debt Relief Initiative Trust Fund [includes HIPC, Extended Credit Facility (ECF), and ECF-HIPC sub-accounts] ",Austria
2022,GEF-TF,17.05,0.03%,Global Environment Facility Trust Fund,Austria
2022,International Development Association - Multilateral Debt Relief Initiative,11.89,0.02%,International Development Association - Multilateral Debt Relief Initiative,Austria
2022,IFC,11.85,0.02%,International Finance Corporation ,Austria
2022,UN,10.44,0.02%,United Nations,Austria
2022,"United Nations Department of Peace Operations - UN peacekeeping operations [only MINURSO, MINUSCA, MINUSMA, MINUJUSTH, MONUSCO, UNAMID, UNIFIL, UNISFA, UNMIK, UNMIL, UNMISS, UNOCI]. Report contributions mission by mission in CRS++.",8.02,0.01%,"United Nations Department of Peace Operations - UN peacekeeping operations [only MINURSO, MINUSCA, MINUSMA, MINUJUSTH, MONUSCO, UNAMID, UNIFIL, UNISFA, UNMIK, UNMIL, UNMISS, UNOCI]. Report contributions mission by mission in CRS++.",Austria
2022,IFAD,6.19,0.01%,International Fund for Agricultural Development ,Austria
2022,Asian Development Fund ,5.49,0.01%,Asian Development Fund ,Austria
2022,AfDB,3.88,0.01%,African Development Bank,Austria
2022,FAO,2.79,0.01%,Food and Agricultural Organisation,Austria
2022,Council of Europe,2.69,0.01%,Council of Europe,Austria
2022,International Development Association - Heavily Indebted Poor Countries Debt Initiative Trust Fund ,2.69,0.01%,International Development Association - Heavily Indebted Poor Countries Debt Initiative Trust Fund ,Austria
2022,United Nations Office of the High Commissioner for Refugees,2.61,0.0%,United Nations Office of the High Commissioner for Refugees,Austria
2022,World Health Organisation - assessed contributions,2.48,0.0%,World Health Organisation - assessed contributions,Austria
2022,MLF-MP,2.23,0.0%,Multilateral Fund for the Implementation of the Montreal Protocol ,Austria
2022,CERF,2.2,0.0%,Central Emergency Response Fund,Austria
2022,Organization for Security and Co-operation in Europe,2.05,0.0%,Organization for Security and Co-operation in Europe,Austria
2022,International Organisation for Migration ,1.88,0.0%,International Organisation for Migration ,Austria
2022,International Labour Organisation - Assessed Contributions,1.63,0.0%,International Labour Organisation - Assessed Contributions,Austria
2022,"United Nations Educational, Scientific and Cultural Organisation",1.49,0.0%,"United Nations Educational, Scientific and Cultural Organisation",Austria
2022,UNIDO,1.48,0.0%,United Nations Industrial Development Organisation ,Austria
2022,UNICEF,1.39,0.0%,United Nations Children's Fund ,Austria
2022,UNDP,1.18,0.0%,United Nations Development Programme ,Austria
2022,International Atomic Energy Agency - assessed contributions,0.98,0.0%,International Atomic Energy Agency - assessed contributions,Austria
2022,International Anti-Corruption Academy,0.89,0.0%,International Anti-Corruption Academy,Austria
2022,International Atomic Energy Agency (Contributions to Technical Cooperation Fund Only),0.69,0.0%,International Atomic Energy Agency (Contributions to Technical Cooperation Fund Only),Austria
2022,UNEP,0.58,0.0%,United Nations Environment Programme ,Austria
2022,UNRWA,0.46,0.0%,United Nations Relief and Works Agency for Palestine Refugees in the Near East,Austria
2022,International Agency for Research on Cancer,0.44,0.0%,International Agency for Research on Cancer,Austria
2022,"Inter-American Development Bank, Inter-American Investment Corporation and Multilateral Investment Fund ",0.41,0.0%,"Inter-American Development Bank, Inter-American Investment Corporation and Multilateral Investment Fund ",Austria
2022,United Nations Entity for Gender Equality and the Empowerment of Women,0.29,0.0%,United Nations Entity for Gender Equality and the Empowerment of Women,Austria
2022,UNFPA,0.29,0.0%,United Nations Population Fund ,Austria
2022,UNWTO,0.23,0.0%,World Tourism Organization,Austria
2022,UNCDF,0.14,0.0%,United Nations Capital Development Fund ,Austria
2022,United Nations Framework Convention on Climate Change ,0.13,0.0%,United Nations Framework Convention on Climate Change ,Austria
2022,United Nations Office of Co-ordination of Humanitarian Affairs ,0.12,0.0%,United Nations Office of Co-ordination of Humanitarian Affairs ,Austria
2022,United Nations Office on Drugs and Crime ,0.07,0.0%,United Nations Office on Drugs and Crime ,Austria
2022,Convention to Combat Desertification ,0.06,0.0%,Convention to Combat Desertification ,Austria
2022,CITES,0.04,0.0%,Convention on International Trade in Endangered Species of Wild Flora and Fauna,Austria
2022,World Meteorological Organisation ,0.02,0.0%,World Meteorological Organisation ,Austria
2022,International Organisation of the Francophonie,0.01,0.0%,International Organisation of the Francophonie,Austria
2022,AF,0.0,0.0%,Adaptation Fund,Austria
2023,European Commission - Development Share of Budget,365.6,0.6%,European Commission - Development Share of Budget,Austria
2023,IDA,325.41,0.53%,International Development Association ,Austria
2023,European Commission - European Development Fund,53.22,0.09%,European Commission - European Development Fund,Austria
2023,ADF,50.78,0.08%,African Development Fund ,Austria
2023,GCF,27.03,0.04%,Green Climate Fund,Austria
2023,GEF-TF,15.88,0.03%,Global Environment Facility Trust Fund,Austria
2023,International Development Association - Multilateral Debt Relief Initiative,11.87,0.02%,International Development Association - Multilateral Debt Relief Initiative,Austria
2023,IFC,10.69,0.02%,International Finance Corporation ,Austria
2023,UN,10.32,0.02%,United Nations,Austria
2023,IFAD,5.77,0.01%,International Fund for Agricultural Development ,Austria
2023,Asian Development Fund ,5.12,0.01%,Asian Development Fund ,Austria
2023,"United Nations Department of Peace Operations - UN peacekeeping operations [only MINURSO, MINUSCA, MINUSMA, MINUJUSTH, MONUSCO, UNAMID, UNIFIL, UNISFA, UNMIK, UNMIL, UNMISS, UNOCI]. Report contributions mission by mission in CRS++.",5.1,0.01%,"United Nations Department of Peace Operations - UN peacekeeping operations [only MINURSO, MINUSCA, MINUSMA, MINUJUSTH, MONUSCO, UNAMID, UNIFIL, UNISFA, UNMIK, UNMIL, UNMISS, UNOCI]. Report contributions mission by mission in CRS++.",Austria
2023,AF,5.0,0.01%,Adaptation Fund,Austria
2023,AfDB,3.61,0.01%,African Development Bank,Austria
2023,International Development Association - Heavily Indebted Poor Countries Debt Initiative Trust Fund ,3.49,0.01%,International Development Association - Heavily Indebted Poor Countries Debt Initiative Trust Fund ,Austria
2023,Organization for Security and Co-operation in Europe,2.7,0.0%,Organization for Security and Co-operation in Europe,Austria
2023,FAO,2.69,0.0%,Food and Agricultural Organisation,Austria
2023,United Nations Office of the High Commissioner for Refugees,2.65,0.0%,United Nations Office of the High Commissioner for Refugees,Austria
2023,Council of Europe,2.58,0.0%,Council of Europe,Austria
2023,World Health Organisation - assessed contributions,2.56,0.0%,World Health Organisation - assessed contributions,Austria
2023,International Organisation for Migration ,1.8,0.0%,International Organisation for Migration ,Austria
2023,MLF-MP,1.72,0.0%,Multilateral Fund for the Implementation of the Montreal Protocol ,Austria
2023,International Labour Organisation - Assessed Contributions,1.55,0.0%,International Labour Organisation - Assessed Contributions,Austria
2023,UNICEF,1.51,0.0%,United Nations Children's Fund ,Austria
2023,UNIDO,1.5,0.0%,United Nations Industrial Development Organisation ,Austria
2023,"United Nations Educational, Scientific and Cultural Organisation",1.37,0.0%,"United Nations Educational, Scientific and Cultural Organisation",Austria
2023,UNDP,1.11,0.0%,United Nations Development Programme ,Austria
2023,European Bank for Reconstruction and Development - Western Balkans Joint Trust Fund,1.08,0.0%,European Bank for Reconstruction and Development - Western Balkans Joint Trust Fund,Austria
2023,International Atomic Energy Agency - assessed contributions,0.93,0.0%,International Atomic Energy Agency - assessed contributions,Austria
2023,International Anti-Corruption Academy,0.83,0.0%,International Anti-Corruption Academy,Austria
2023,International Atomic Energy Agency (Contributions to Technical Cooperation Fund Only),0.66,0.0%,International Atomic Energy Agency (Contributions to Technical Cooperation Fund Only),Austria
2023,UNEP,0.54,0.0%,United Nations Environment Programme ,Austria
2023,UNRWA,0.43,0.0%,United Nations Relief and Works Agency for Palestine Refugees in the Near East,Austria
2023,International Agency for Research on Cancer,0.42,0.0%,International Agency for Research on Cancer,Austria
2023,UNCDF,0.32,0.0%,United Nations Capital Development Fund ,Austria
2023,UNFPA,0.28,0.0%,United Nations Population Fund ,Austria
2023,United Nations Entity for Gender Equality and the Empowerment of Women,0.27,0.0%,United Nations Entity for Gender Equality and the Empowerment of Women,Austria
2023,UNWTO,0.21,0.0%,World Tourism Organization,Austria
2023,United Nations Framework Convention on Climate Change ,0.12,0.0%,United Nations Framework Convention on Climate Change ,Austria
2023,United Nations Office of Co-ordination of Humanitarian Affairs ,0.12,0.0%,United Nations Office of Co-ordination of Humanitarian Affairs ,Austria
2023,United Nations High Commissioner for Human Rights (extrabudgetary contributions only),0.1,0.0%,United Nations High Commissioner for Human Rights (extrabudgetary contributions only),Austria
2023,Convention to Combat Desertification ,0.06,0.0%,Convention to Combat Desertification ,Austria
2023,United Nations Office on Drugs and Crime ,0.06,0.0%,United Nations Office on Drugs and Crime ,Austria
2023,CITES,0.04,0.0%,Convention on International Trade in Endangered Species of Wild Flora and Fauna,Austria
2023,World Meteorological Organisation ,0.02,0.0%,World Meteorological Organisation ,Austria
2023,International Organisation of the Francophonie,0.01,0.0%,International Organisation of the Francophonie,Austria
2023,CERF,0.0,0.0%,Central Emergency Response Fund,Austria
